r_component,mean_rmse
4.0,0.9386890188654974
6.0,0.9374029094880096
8.0,0.9365329692793634
10.0,0.9358772774403319
12.0,0.9355551226856686
14.0,0.9360151906923674
16.0,0.9363941395707535
18.0,0.9372017150118797
20.0,0.9379230868472904
22.0,0.9385147062344583
24.0,0.9395374038519348
26.0,0.9394958969036695
28.0,0.9405523461707128
30.0,0.9405631688595596
32.0,0.940977364110589
34.0,0.9409994310059121
36.0,0.9417460408569422
38.0,0.941854467862596
40.0,0.9421044561977998
42.0,0.9427074255644186
44.0,0.9436843173844267
46.0,0.9431895037573209
48.0,0.9439573353999142
50.0,0.9444470201090848
