,lmb,r_component,rmse_fold1,rmse_fold2,rmse_fold3,rmse_fold4,rmse_fold5
0,0.0,1.0,1.0455783070302749,1.0565645535056998,1.04062256560399,1.0529681876791874,1.043249821663361
1,0.0,2.0,1.071818576643761,1.0823667706242803,1.0788794004190572,1.0719747042025485,1.06791051307817
2,0.0,3.0,1.122377496260357,1.1084630958533737,1.1090668400573438,1.1113614231306252,1.0989733678794091
3,0.0,4.0,1.1455424766569584,1.1360178343923653,1.1264841892591153,1.1375445209157764,1.1504810748938952
0,0.0,5.0,1.1478505419968807,1.1608340010200993,1.1686778868334513,1.1374791335201415,1.15575925373677
1,0.0,10.0,1.259219976089434,1.2744995819187244,1.2680295907395165,1.2682153246136736,1.2871463922126791
2,0.0,15.0,1.349956703418953,1.3507507889159749,1.3598243741588665,1.3603074492275122,1.3697137031944897
3,0.0,20.0,1.4192273872618522,1.4410792746675776,1.420864194864146,1.4288552799766572,1.4356183682187258
4,0.0,25.0,1.4959408557769736,1.4727698139146197,1.460946798373198,1.4734598566047314,1.4774350609692453
5,0.0,30.0,1.506485870392178,1.5371992725765444,1.536259490320448,1.5421508633938368,1.5363343660840725
6,0.0,35.0,1.5631727985718888,1.5614311190014518,1.589490138747387,1.5736769257990295,1.6003628480871095
7,0.0,40.0,1.6183497407463656,1.630787674266091,1.6376223350584962,1.621445232879926,1.636862462984925
8,0.0,45.0,1.6577329532093807,1.6742554623475994,1.6669203621728748,1.663548098044616,1.6634286110768768
9,0.0,50.0,1.7064139487494052,1.6963408476873691,1.7155249153281966,1.7337247639112323,1.7111920705347508
