lmb,r_component,rmse_fold1,rmse_fold2,rmse_fold3,rmse_fold4,rmse_fold5
0.0,4.0,2.598076211353316,3.783186487605389,4.330127018922194,2.850438562747845,4.69041575982343
0.0,6.0,3.905124837953327,3.872983346207417,4.358898943540674,3.5355339059327378,3.7416573867739413
0.0,8.0,3.400367627183861,1.2747548783981961,3.6742346141747673,3.872983346207417,4.358898943540674
0.001,4.0,3.181980515339464,3.6742346141747673,3.6827299656640586,2.850438562747845,4.330127018922194
0.001,6.0,3.391164991562634,3.774917217635375,4.58257569495584,3.400367627183861,4.69041575982343
0.001,8.0,3.3260336739125176,3.75,4.190763653560053,3.75,4.55521678957215
0.01,4.0,2.958039891549808,3.75,3.6742346141747673,2.7386127875258306,2.3804761428476167
0.01,6.0,4.06201920231798,3.6228441865473595,3.783186487605389,3.7165171868296265,4.358898943540674
0.01,8.0,3.905124837953327,3.0413812651491097,4.123105625617661,3.5355339059327378,3.582364210034113
